retyr,popID,Stock,fc,age4fc,age5fc,age4,age5,tot,age4diff,age4perc,age5diff,age5perc,totdiff,totperc,cyc
2017,8,Seymour,20000,20000,0,4527.61748779884,143.279034424014,4670.89652222285,-15472.38251220116,-0.773619125610058,143.279034424014,Inf,-15329.10347777715,-0.7664551738888574,1
2018,8,Seymour,556000,544880,11120,329110.461120822,2824.98249889118,331935.443619714,-215769.538879178,-0.3959946022595397,-8295.01750110882,-0.7459548112507931,-224064.556380286,-0.4029938064393633,2
2019,8,Seymour,29000,24650,4350,857.876698724472,1806.05620784099,2663.93290656547,-23792.12330127553,-0.9651976998489058,-2543.9437921590097,-0.5848146648641401,-26336.06709343453,-0.9081402446011907,3
2020,8,Seymour,3000,1350,1650,978.947368421053,54.3859649122807,1033.33333333333,-371.05263157894694,-0.27485380116959035,-1595.6140350877192,-0.9670388091440723,-1966.66666666667,-0.6555555555555567,0
2009,9,Late Shuswap,70000,70000,0,32714.1112970529,1934.88145324666,34648.9927502996,-37285.8887029471,-0.5326555528992443,1934.88145324666,Inf,-35351.0072497004,-0.5050143892814343,1
2010,9,Late Shuswap,7252000,7251000,1000,17333011.884117,0,17333011.884117,10082011.884117,1.3904305453202317,-1000,-1,10081011.884117,1.3901009216929123,2
2011,9,Late Shuswap,251000,143070,107930,214295.51456519,163973.002082654,378268.516647844,71225.51456519001,0.4978368250869505,56043.00208265401,0.5192532389757621,127268.516647844,0.5070458830591394,3
2012,9,Late Shuswap,8000,80,7920,0,94.0551580768249,94.0551580768249,-80,-1,-7825.944841923175,-0.9881243487276736,-7905.944841923175,-0.9882431052403968,0
2013,9,Late Shuswap,111000,111000,0,384007.750740642,9300.47256429046,393308.223304932,273007.750740642,2.4595292859517297,9300.47256429046,Inf,282308.223304932,2.5433173270714593,1
2014,9,Late Shuswap,11730000,11730000,0,8155533.61160973,0,8155533.61160973,-3574466.38839027,-0.3047285923606368,0,NA,-3574466.38839027,-0.3047285923606368,2
2015,9,Late Shuswap,517000,351560,165440,19138.8755370612,10631.341307267,29770.2168443282,-332421.1244629388,-0.9455601446778326,-154808.658692733,-0.9357389911311231,-487229.7831556718,-0.9424173755428855,3
2016,9,Late Shuswap,4000,0,4000,0,805.095700464355,805.095700464355,0,NA,-3194.904299535645,-0.7987260748839112,-3194.904299535645,-0.7987260748839112,0
2017,9,Late Shuswap,174000,174000,0,27943.2345327205,0,27943.2345327205,-146056.7654672795,-0.8394066980878132,0,NA,-146056.7654672795,-0.8394066980878132,1
2018,9,Late Shuswap,6923000,6923000,0,4289887.36610831,0,4289887.36610831,-2633112.6338916896,-0.3803427175923284,0,NA,-2633112.6338916896,-0.3803427175923284,2
2019,9,Late Shuswap,61000,19520,41480,1626.19767758948,12114.5142926808,13740.7119702702,-17893.80232241052,-0.9166906927464405,-29365.4857073192,-0.7079432427029702,-47259.288029729796,-0.7747424267168819,3
2020,9,Late Shuswap,600,108,492,38.4615384615385,38.4615384615385,76.9230769230769,-69.53846153846149,-0.6438746438746434,-453.5384615384615,-0.9218261413383364,-523.0769230769231,-0.8717948717948718,0
2009,10,Birkenhead,297000,198990,98010,33022.688243362,29866.1077495113,62888.7959928733,-165967.311756638,-0.8340485037270113,-68143.8922504887,-0.6952748928730609,-234111.20400712668,-0.7882532121452077,1
2010,10,Birkenhead,109000,100000,9000,257819.11003118,51290.273878882,309109.383910062,157819.11003118,1.5781911003117999,42290.273878882,4.6989193198757775,200109.38391006202,1.8358659074317616,2
2011,10,Birkenhead,456000,200640,255360,188807.456336453,178239.874825085,367047.331161538,-11832.543663546996,-0.05897400151289372,-77120.12517491501,-0.30200550272131504,-88952.66883846198,-0.1950716421896096,3
2012,10,Birkenhead,85000,17850,67150,46572.6781785829,54481.2461711725,101053.924349755,28722.6781785829,1.6091136234500225,-12668.753828827503,-0.18866349707859276,16053.924349755005,0.18886969823241181,0
2013,10,Birkenhead,282000,222780,59220,68047.8198976818,23300.4208209961,91348.2407186779,-154732.1801023182,-0.6945514862299946,-35919.5791790039,-0.6065447345323185,-190651.7592813221,-0.6760700683734826,1
2014,10,Birkenhead,493000,281010,211990,28554.8813572924,72094.0073872234,100648.888744516,-252455.1186427076,-0.8983848213327198,-139895.99261277658,-0.6599178858095975,-392351.111255484,-0.7958440390577769,2
2015,10,Birkenhead,299000,236210,62790,55477.0157875885,5635.76033397725,61112.7761215658,-180732.9842124115,-0.7651368875678909,-57154.23966602275,-0.9102443010992635,-237887.2238784342,-0.7956094444094789,3
2016,10,Birkenhead,68000,16320,51680,15555.3240877953,34018.1853882627,49573.509476058,-764.6759122047006,-0.046855141679209594,-17661.814611737303,-0.34175337871008715,-18426.490523941997,-0.27097780182267645,0
2017,10,Birkenhead,143000,132990,10010,14137.7789349235,7772.71828889732,21910.4972238208,-118852.2210650765,-0.8936929172499926,-2237.2817111026798,-0.22350466644382416,-121089.5027761792,-0.8467797396935608,1
2018,10,Birkenhead,187000,71060,115940,7905.94893812228,26938.7889743426,34844.7379124649,-63154.05106187772,-0.8887426268206828,-89001.2110256574,-0.7676488789516767,-152155.2620875351,-0.813664503141899,2
2019,10,Birkenhead,229000,144270,84730,1049.9971443907,3213.63196525626,4263.62910964696,-143220.0028556093,-0.9927219994150501,-81516.36803474373,-0.9620720882183846,-224736.37089035305,-0.9813815322722841,3
2020,10,Birkenhead,68000,56440,11560,8897.05882352941,1617.64705882353,10514.7058823529,-47542.94117647059,-0.8423625297035894,-9942.35294117647,-0.8600651333197639,-57485.2941176471,-0.8453719723183397,0
2009,11,Cultus,5000,4750,250,905.754642171773,34.6884756576423,940.443117829415,-3844.245357828227,-0.8093148121743636,-215.3115243423577,-0.8612460973694308,-4059.556882170585,-0.811911376434117,1
2010,11,Cultus,9000,9000,0,19919.4979364637,0,19919.4979364637,10919.4979364637,1.2132775484959666,0,NA,10919.4979364637,1.2132775484959666,2
2011,11,Cultus,15000,12000,3000,12280.0352001752,247.24903087601,12527.2842310512,280.03520017519986,0.023336266681266656,-2752.75096912399,-0.9175836563746634,-2472.7157689487995,-0.16484771792991995,3
2012,11,Cultus,3000,3000,0,1873.21663302067,220.378427414197,2093.59506043487,-1126.78336697933,-0.3755944556597766,220.378427414197,Inf,-906.40493956513,-0.30213497985504334,0
2013,11,Cultus,7000,6650,350,2523.55158768275,62.7749151164864,2586.32650279924,-4126.44841231725,-0.6205185582431955,-287.2250848835136,-0.8206430996671817,-4413.67349720076,-0.6305247853143943,1
2014,11,Cultus,13000,13000,0,18630.0579509798,145.169282734907,18775.2272337147,5630.057950979801,0.4330813808446001,145.169282734907,Inf,5775.227233714701,0.44424824874728464,2
2015,11,Cultus,6000,6000,0,1594.36779165376,138.32414630786,1732.69193796162,-4405.63220834624,-0.7342720347243733,138.32414630786,Inf,-4267.30806203838,-0.71121801033973,3
2016,11,Cultus,4000,4000,0,3856.18301572239,28.7774851919581,3884.96050091435,-143.81698427761012,-0.03595424606940253,28.7774851919581,Inf,-115.03949908564982,-0.028759874771412456,0
2017,11,Cultus,3000,2940,60,709.449537286821,130.975299191413,840.424836478234,-2230.550462713179,-0.7586906335759113,70.975299191413,1.1829216531902167,-2159.5751635217657,-0.7198583878405885,1
2018,11,Cultus,1000,1000,0,1411.29380567914,24.3326518220541,1435.62645750119,411.29380567913995,0.4112938056791399,24.3326518220541,Inf,435.6264575011901,0.4356264575011901,2
2019,11,Cultus,1000,860,140,51.3623989137924,29.5333793754306,80.895778289223,-808.6376010862076,-0.9402762803327995,-110.4666206245694,-0.7890472901754957,-919.104221710777,-0.919104221710777,3
2020,11,Cultus,1000,730,270,800,0,800,70,0.0958904109589041,-270,-1,-200,-0.2,0
2009,12,Portage,66000,66000,0,2520.02371397416,61.4639930237599,2581.48770699792,-63479.97628602584,-0.961817822515543,61.4639930237599,Inf,-63418.51229300208,-0.9608865498939709,1
2010,12,Portage,42000,41000,1000,171031.704775974,0,171031.704775974,130031.70477597401,3.1715049945359515,-1000,-1,129031.70477597401,3.072183447047,2
2011,12,Portage,19000,12920,6080,2739.98971391728,1268.51375644319,4008.50347036047,-10180.010286082721,-0.7879264927308608,-4811.48624355681,-0.7913628690060543,-14991.49652963953,-0.7890261331389226,3
2012,12,Portage,2000,1200,800,94.3423863141336,94.3423863141336,188.684772628267,-1105.6576136858664,-0.921381344738222,-705.6576136858664,-0.882072017107333,-1811.315227371733,-0.9056576136858665,0
2013,12,Portage,12000,11040,960,12139.3109428401,208.400187859915,12347.7111307,1099.3109428401003,0.09957526656160329,-751.599812140085,-0.7829164709792552,347.71113069999956,0.028975927558333295,1
2014,12,Portage,111000,109890,1110,83763.6499178756,0,83763.6499178756,-26126.350082124394,-0.2377500234973555,-1110,-1,-27236.350082124394,-0.24537252326238193,2
2015,12,Portage,8000,5040,2960,51.3017221380338,28.497291632617902,79.7990137706517,-4988.698277861966,-0.9898210868773741,-2931.502708367382,-0.9903725366106021,-7920.200986229348,-0.9900251232786685,3
2016,12,Portage,400,300,100,218.918234871351,0,218.918234871351,-81.08176512864901,-0.27027255042883,-100,-1,-181.081765128649,-0.45270441282162255,0
2017,12,Portage,51000,51000,0,1821.39857419477,0,1821.39857419477,-49178.60142580523,-0.9642863024667693,0,NA,-49178.60142580523,-0.9642863024667693,1
2018,12,Portage,102000,89760,12240,92019.5145205491,773.273231265118,92792.7877518142,2259.514520549099,0.025172844480270712,-11466.726768734881,-0.9368240824129805,-9207.212248185795,-0.09026678674691956,2
