retyr,popID,p50,model,age,obs
2013,11,0.0115895746857799,MRJ,99,2586.32650279924
2013,13,0.394101647871552,MRJ,99,251557.183159373
2013,17,0.0777558888780299,MRJ,99,22302.4578485909
2013,18,0.026232604710835,MRJ,99,74704.8032580583
2013,6,NA,RJ1,99,302986.784006103
2013,7,1.37351050463974,RJ1,99,1688876.15589949
2013,11,0.00484763185694865,RJ1,99,2586.32650279924
2013,13,0.317914702365403,RJ1,99,251557.183159373
2013,17,0.0252226422037197,RJ1,99,22302.4578485909
2013,18,0.033460617123573,RJ1,99,74704.8032580583
2013,6,NA,RJ2,99,302986.784006103
2013,7,1.57817926300729,RJ2,99,1688876.15589949
2013,11,0.00484763185694865,RJ2,99,2586.32650279924
2013,13,0.338123095669819,RJ2,99,251557.183159373
2013,17,0.0982101172348041,RJ2,99,22302.4578485909
2013,18,0.0332911951617355,RJ2,99,74704.8032580583
2012,6,NA,RJC,99,1375.13229783438
2012,7,1.08348587734565,RJC,99,493360.097770792
2012,11,0.0109595904969949,RJC,99,2093.59506043487
2012,13,0.0612832714120292,RJC,99,30436.9750456448
2012,17,0.133046765608514,RJC,99,87155.7712234479
2012,18,0.0343177214850146,RJC,99,84189.5971046091
2012,6,NA,MRJ,99,1375.13229783438
2012,7,1.18712073359373,MRJ,99,493360.097770792
2012,11,0.0115480518042787,MRJ,99,2093.59506043487
2012,13,0.0849514466015012,MRJ,99,30436.9750456448
2012,17,0.100607929735212,MRJ,99,87155.7712234479
2012,18,0.0289318747418444,MRJ,99,84189.5971046091
2012,6,NA,RJ1,99,1375.13229783438
2012,7,0.608733531407779,RJ1,99,493360.097770792
2012,11,0.00556443442238345,RJ1,99,2093.59506043487
2012,13,0.0666266481833241,RJ1,99,30436.9750456448
2012,17,0.0300443895782092,RJ1,99,87155.7712234479
2012,18,0.0396185198399721,RJ1,99,84189.5971046091
2012,6,NA,RJ2,99,1375.13229783438
2012,7,0.841046921823405,RJ2,99,493360.097770792
2012,11,0.00556443442238345,RJ2,99,2093.59506043487
2012,13,0.0731769891397089,RJ2,99,30436.9750456448
2012,17,0.138050574589422,RJ2,99,87155.7712234479
2012,18,0.0421929508101078,RJ2,99,84189.5971046091
