"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Chilko",1.00794904981494,0.0588509572615676,0.936596763085132,1.30603748200979,34,15,5,32,21.5,21,0.68,0.3,0.1,0.64
"Chilko",0.966850417941429,0.0545064430828835,2.0157804199746,1.23928577847189,25,13,26,23,21.75,22,0.5,0.26,0.52,0.46
"Chilko",0.932596344238861,-0.329065536640843,0.566072718145946,1.44803228115802,17,34,1,39,22.75,24,0.34,0.68,0.02,0.78
"Chilko",0.98111136299654,0.0390871103075199,2.03105439124493,1.24786146454733,30,9,27,26,23,25,0.6,0.18,0.54,0.52
"Chilko",0.980297295450367,0.0520427429567961,2.10218394248375,1.24492253283384,28,12,30,25,23.75,26,0.56,0.24,0.6,0.5
"Chilko",0.951071006590236,0.285133074458962,2.10525065644364,1.20071379578735,22,29,31,15,24.25,27,0.44,0.58,0.62,0.3
"Chilko",1.33784333208281,0.0293912072615676,1.15654448775865,1.77809557461334,43,7,7,42,24.75,28,0.86,0.14,0.14,0.84
"Chilko",0.948610476726465,0.288186073894118,2.17907037432317,1.20857942014745,20,30,34,16,25,29,0.4,0.6,0.68,0.32
"Chilko",0.964089259439904,0.304198023266257,2.20033975249215,1.21260260422018,24,33,35,18,27.5,30,0.48,0.66,0.7,0.36
"Chilko",0.968853965909292,0.29402869005672,2.09032689545192,1.25116211209681,26,32,28,27,28.25,31,0.52,0.64,0.56,0.54
"Chilko",0.978152588227567,0.330475172046004,2.14373870801934,1.22930246746145,27,35,33,20,28.75,32,0.54,0.7,0.66,0.4
"Chilko",0.991312178556329,0.331004989436493,2.13718088446756,1.23728318590049,32,36,32,22,30.5,33,0.64,0.72,0.64,0.44
"Chilko",1.00604710265065,0.15488677450466,2.92134073031949,1.26097126389799,33,22,40,29,31,34,0.66,0.44,0.8,0.58
"Chilko",1.11495259622163,0.201386487165053,1.89783247174433,1.45143123166112,38,26,22,40,31.5,35,0.76,0.52,0.44,0.8
"Chilko",1.06751393496533,0.144376583650457,3.17262077300093,1.34214232500778,35,21,41,33,32.5,37,0.7,0.42,0.82,0.66
"Chilko",1.1106457101924,0.418949107922983,2.21244747137835,1.43409097697561,37,38,36,38,37.25,38,0.74,0.76,0.72,0.76
"Chilko",1.52410903792522,0.516700746050457,2.09446104144909,2.21876910455798,45,39,29,45,39.5,40,0.9,0.78,0.58,0.9
"Chilko",1.51481371478688,0.411777212880176,2.62216721275736,1.9494831035352,44,37,38,44,40.75,42,0.88,0.74,0.76,0.88
"Chilko",2.0855876149925,0.963995390712048,2.48947944764102,3.44920340255991,46,44,37,48,43.75,46,0.92,0.88,0.74,0.96
"Chilko",3.01060809574909,2.70727225520226,5.62836791549334,4.03884910290409,49,49,48,49,48.75,49,0.98,0.98,0.96,0.98
"Chilko",3.20886685414588,2.98235909402009,5.5974225419351,4.51898952431228,50,50,47,50,49.25,50,1,1,0.94,1
"Seymour",0.101252131443548,0.00907947860669613,1.89106951603117,0.166724848573615,14,2,6,2,6,1,0.333333333333333,0.0476190476190476,0.142857142857143,0.0476190476190476
"Seymour",0.0778749662285569,-0.0227903685078739,2.54320448506751,0.137114953605559,3,15,14,1,8.25,2,0.0714285714285714,0.357142857142857,0.333333333333333,0.0238095238095238
"Seymour",0.0637394987093931,-0.044076245006614,1.76802915963522,0.181788726567203,1,29,4,6,10,3,0.0238095238095238,0.69047619047619,0.0952380952380952,0.142857142857143
"Seymour",0.0893481131977656,-0.0171936910888916,3.8025863054838,0.176293246683186,5,8,23,4,10,4,0.119047619047619,0.19047619047619,0.547619047619048,0.0952380952380952
"Seymour",0.0692116064581938,-0.0342093713791999,2.39461756547316,0.175306123379407,2,25,12,3,10.5,5,0.0476190476190476,0.595238095238095,0.285714285714286,0.0714285714285714
"Seymour",0.099421588779292,-0.0139745013982367,4.39929947251742,0.185654051245688,12,6,29,8,13.75,9,0.285714285714286,0.142857142857143,0.69047619047619,0.19047619047619
"Seymour",0.0941804007016089,-0.0205874936855602,4.15423068248676,0.202932891497357,8,11,26,12,14.25,10,0.19047619047619,0.261904761904762,0.619047619047619,0.285714285714286
"Seymour",0.0998570725607936,-0.0230178618967541,2.83997803392765,0.190171288055005,13,16,17,11,14.25,11,0.30952380952381,0.380952380952381,0.404761904761905,0.261904761904762
"Seymour",0.129989169628314,0.0171096054871629,1.80837183727851,0.281324549382206,22,7,5,24,14.5,12,0.523809523809524,0.166666666666667,0.119047619047619,0.571428571428571
"Seymour",0.094461276692503,-0.0227058321967421,4.23965207801625,0.205288937949022,9,14,28,13,16,14,0.214285714285714,0.333333333333333,0.666666666666667,0.30952380952381
"Seymour",0.108473913922346,-0.0300661796821314,2.61672115127134,0.210981261895516,16,22,15,14,16.75,16,0.380952380952381,0.523809523809524,0.357142857142857,0.333333333333333
"Seymour",0.128759703515335,-0.02709714040671,1.91894417887845,0.267391613541399,21,19,9,19,17,17,0.5,0.452380952380952,0.214285714285714,0.452380952380952
"Seymour",0.131590152075352,-0.0292475771242938,1.65877506122816,0.270818307051308,23,21,3,21,17,18,0.547619047619048,0.5,0.0714285714285714,0.5
"Seymour",0.118605452741595,-0.0326112620303607,1.90780776758537,0.239845508755264,20,24,7,18,17.25,19,0.476190476190476,0.571428571428571,0.166666666666667,0.428571428571429
"Seymour",0.113383620681861,-0.0452324138739039,1.90874272505115,0.238846345668382,17,30,8,17,18,20,0.404761904761905,0.714285714285714,0.19047619047619,0.404761904761905
"Seymour",0.164147398783987,0.012539907805762,2.25222893276935,0.330556391549587,28,5,11,30,18.5,21,0.666666666666667,0.119047619047619,0.261904761904762,0.714285714285714
"Seymour",0.106291560803836,-0.0915691003110936,0.510167259372539,0.27764431182053,15,35,1,23,18.5,22,0.357142857142857,0.833333333333333,0.0238095238095238,0.547619047619048
"Seymour",0.143526860234174,0.0203349804871629,3.48906186140627,0.270657880073493,25,10,21,20,19,23,0.595238095238095,0.238095238095238,0.5,0.476190476190476
"Seymour",0.117647991136952,-0.0117756425783133,12.1030416597156,0.230684338208363,19,4,38,16,19.25,24,0.452380952380952,0.0952380952380952,0.904761904761905,0.380952380952381
"Seymour",0.134537554931594,-0.0323666070721297,2.06168628697073,0.275086207237057,24,23,10,22,19.75,25,0.571428571428571,0.547619047619048,0.238095238095238,0.523809523809524
"Seymour",0.11742107701154,-0.0691772468875293,0.932029042921881,0.287962250174712,18,34,2,25,19.75,26,0.428571428571429,0.80952380952381,0.0476190476190476,0.595238095238095
"Seymour",0.154336850846458,0.0224325627038047,4.60119633749011,0.30955050909205,26,12,30,27,23.75,27,0.619047619047619,0.285714285714286,0.714285714285714,0.642857142857143
"Seymour",0.195844006199709,-0.0111901120099981,37.3487308881189,0.295874724295977,34,3,42,26,26.25,28,0.80952380952381,0.0714285714285714,1,0.619047619047619
"Seymour",0.158953242599314,0.0287598677022775,4.62646548116275,0.322910362591044,27,20,31,29,26.75,29,0.642857142857143,0.476190476190476,0.738095238095238,0.69047619047619
"Seymour",0.175002650530959,0.0418180234828632,3.2949129897415,0.362907189722144,30,28,19,31,27,30,0.714285714285714,0.666666666666667,0.452380952380952,0.738095238095238
"Seymour",0.27666922958729,0.000542355487162872,16.3424961841274,0.456061896875531,37,1,41,36,28.75,31,0.880952380952381,0.0238095238095238,0.976190476190476,0.857142857142857
"Seymour",0.165453535265916,0.0378712719335068,5.51291252467932,0.320481713484351,29,27,33,28,29.25,32,0.69047619047619,0.642857142857143,0.785714285714286,0.666666666666667
"Seymour",0.191375392090641,0.101974518939402,2.47217166989127,0.440153321997748,33,36,13,35,29.25,33,0.785714285714286,0.857142857142857,0.30952380952381,0.833333333333333
"Seymour",0.199667592665022,0.051635635329765,3.19422935664308,0.426266681628255,35,31,18,34,29.5,34,0.833333333333333,0.738095238095238,0.428571428571429,0.80952380952381
"Seymour",0.183210676777307,0.0519240749684476,3.50889977238752,0.380318271826425,32,32,22,33,29.75,35,0.761904761904762,0.761904761904762,0.523809523809524,0.785714285714286
"Seymour",0.181306006985679,0.0550243578642041,4.80380865286866,0.377238648967041,31,33,32,32,32,36,0.738095238095238,0.785714285714286,0.761904761904762,0.761904761904762
"Seymour",0.258617411629107,0.126856751359215,7.22507465633212,0.557640193044789,36,37,35,37,36.25,37,0.857142857142857,0.880952380952381,0.833333333333333,0.880952380952381
"Seymour",0.280563448221547,0.15791430062362,7.11086164382664,0.635063990496304,38,38,34,38,37,38,0.904761904761905,0.904761904761905,0.80952380952381,0.904761904761905
"Seymour",0.322818006722887,0.281570901651239,8.06787474361041,0.718204497274219,39,39,36,39,38.25,39,0.928571428571429,0.928571428571429,0.857142857142857,0.928571428571429
"Seymour",0.384945428691714,0.315519552451746,8.17189146619608,0.931159473117636,40,40,37,40,39.25,40,0.952380952380952,0.952380952380952,0.880952380952381,0.952380952380952
"Seymour",0.399113418105875,0.342339865882224,12.8714476380664,0.961721346090332,41,41,39,41,40.5,41,0.976190476190476,0.976190476190476,0.928571428571429,0.976190476190476
"Seymour",0.494171507814294,0.470875316886953,14.4043783955198,1.2480508064374,42,42,40,42,41.5,42,1,1,0.952380952380952,1
